job_title,company_name,company_linkedin_link,company_location,company_image,work_method,post_date,applicants,work_time
Senior Software Engineer (Back End),Mana Search,https://www.linkedin.com/company/mana-talent/life/,"London, England, United Kingdom",https://media-exp1.licdn.com/dms/image/C4D0BAQFwTZPUTz5yNQ/company-logo_100_100/0/1644445334719?e=1675900800&v=beta&t=4OdfKDNXvLzAPupZSdOrr7l9CQVvhHbTNyKRADfrKBE,Hybrid,3 weeks ago,46 applicants,"£80,000/yr - £120,000/yr · Full-time · Mid-Senior level"
Back End Developer,Hurren & Hope,https://www.linkedin.com/company/hurren-&-hope/life/,"London, England, United Kingdom",https://media-exp1.licdn.com/dms/image/C4E0BAQGzwGUBq8OBkA/company-logo_100_100/0/1663235766845?e=1675900800&v=beta&t=NXeHhqAdac1hKUx_XumNGZjx3IybVrGD65hLTrUo0WU,Remote,4 days ago,121 applicants,"£60,000/yr - £80,000/yr · Full-time · Director"
Senior Backend Node.js Engineer,Explore Group,https://www.linkedin.com/company/explore-group/life/,"London, England, United Kingdom",https://media-exp1.licdn.com/dms/image/C4E0BAQFiGC9oIVI0eQ/company-logo_100_100/0/1657008238485?e=1675900800&v=beta&t=d-NmgIqkbGTilxtFdlY5U7UkXtwXgo0D_CAA5Ki2wV4,Remote,6 days ago,87 applicants,"£60,000/yr - £90,000/yr · Full-time · Mid-Senior level"
Senior Back End Engineer,Route2,https://www.linkedin.com/company/route2/life/,"London, England, United Kingdom",https://media-exp1.licdn.com/dms/image/C560BAQHLPieK2fpkWw/company-logo_100_100/0/1582739022935?e=1675900800&v=beta&t=jDomz0ZyWjm5-NELs4Dq9GEEMRvKNjr9HDwLKs2bFUU,Hybrid,19 hours ago,6 applicants,Full-time
Back End Developer,Opus Recruitment Solutions,https://www.linkedin.com/company/opus-recruitment-solutions/life/,"Croydon, England, United Kingdom",https://media-exp1.licdn.com/dms/image/C560BAQHM_oqVxH6cXA/company-logo_100_100/0/1519887505044?e=1675900800&v=beta&t=Atjci9x8wM8f1AQ6PIjxECEf5sSYytXeuZLevjURqVw,Hybrid,1 week ago,38 applicants,Full-time · Associate
Back End Engineer (Java),Troi,https://www.linkedin.com/company/troi-io/life/,United Kingdom,https://media-exp1.licdn.com/dms/image/C4E0BAQG4JKSWOXh_Dg/company-logo_100_100/0/1656924799339?e=1675900800&v=beta&t=AJ6fz5fDMqHXhiHXhKuYExBvixNmjDy7cXoKGOjC7to,Remote,3 weeks ago,64 applicants,Full-time · Mid-Senior level
Senior Back End Developer,1account,https://www.linkedin.com/company/1accountid/life/,"London, England, United Kingdom",https://media-exp1.licdn.com/dms/image/C4D0BAQHcMhtNT60eww/company-logo_100_100/0/1632129422078?e=1675900800&v=beta&t=m3Nj6EvJzQVCpY2qVO7Fwdx2hSb8z4CzRJM3D_Cl9AY,Hybrid,3 weeks ago,ERR,Full-time
Senior Back End Developer - Fully Remote,1account,https://www.linkedin.com/company/1accountid/life/,United Kingdom,https://media-exp1.licdn.com/dms/image/C4D0BAQHcMhtNT60eww/company-logo_100_100/0/1632129422078?e=1675900800&v=beta&t=m3Nj6EvJzQVCpY2qVO7Fwdx2hSb8z4CzRJM3D_Cl9AY,Remote,3 weeks ago,131 applicants,Full-time
Back End Developer,Understanding Recruitment,https://www.linkedin.com/company/understanding-recruitment/life/,"London, England, United Kingdom",https://media-exp1.licdn.com/dms/image/C4D0BAQEi98b-tf2v4w/company-logo_100_100/0/1663686753983?e=1675900800&v=beta&t=ItHTCSDe63_glYtHTB_hQNKP-t1DpC3sMZyjWJdQDPA,Hybrid,3 weeks ago,34 applicants,"£85,000/yr - £100,000/yr · Full-time · Mid-Senior level"
Back End Developer,Amicus,https://www.linkedin.com/company/amicus-recruitment/life/,"London, England, United Kingdom",https://media-exp1.licdn.com/dms/image/D4E0BAQGDtjExB2b7wA/company-logo_100_100/0/1663660111505?e=1675900800&v=beta&t=AWahZk-uwbp-E80ol_dYDQDNjsW6KNxbWlJtqVUYDwY,Remote,3 weeks ago,189 applicants,"£70,000/yr - £90,000/yr · Full-time · Mid-Senior level"
Back-End Engineer,Fresha,https://www.linkedin.com/company/heyfresha/life/,United Kingdom,https://media-exp1.licdn.com/dms/image/D4E0BAQG6qfUqXDRNWg/company-logo_100_100/0/1666606781791?e=1675900800&v=beta&t=w49It2NyshcsyO9c81nGnNTLfj_hwNQrgtd6tbc6qmA,Remote,1 week ago,100 applicants,Full-time · Mid-Senior level
Robotics Back End Developer (Python/C++),Engineered Arts Ltd,https://www.linkedin.com/company/engineered-arts-ltd/life/,"London, England, United Kingdom",https://media-exp1.licdn.com/dms/image/C4E0BAQFnGzfIdX65dg/company-logo_100_100/0/1519911103164?e=1675900800&v=beta&t=1gg0XUW52hZazmaKkRDskgeH7t4MKrXcv_YxF82k9Q8,On-site,1 week ago,113 applicants,"£55,000/yr - £85,000/yr · Full-time"
Back End Engineer (Java),Troi,https://www.linkedin.com/company/troi-io/life/,United Kingdom,https://media-exp1.licdn.com/dms/image/C4E0BAQG4JKSWOXh_Dg/company-logo_100_100/0/1656924799339?e=1675900800&v=beta&t=AJ6fz5fDMqHXhiHXhKuYExBvixNmjDy7cXoKGOjC7to,Remote,3 weeks ago,63 applicants,Full-time · Mid-Senior level
Back End Developer,Inspire People,https://www.linkedin.com/company/inspire-people/life/,United Kingdom,https://media-exp1.licdn.com/dms/image/C560BAQFMYoFDGWrj1A/company-logo_100_100/0/1519872317953?e=1675900800&v=beta&t=Vq1I6NYmSk5EBFgWPjzuWoiDJLlaOWvlKjv7oi2XYfs,Remote,2 weeks ago,92 applicants,"£60,000/yr - £80,000/yr · Full-time · Mid-Senior level"
Backend Software Engineer (Remote),Treatwell,https://www.linkedin.com/company/treatwell-com/life/,United Kingdom,https://media-exp1.licdn.com/dms/image/C560BAQEnvT7GG_jaFA/company-logo_100_100/0/1657636679855?e=1675900800&v=beta&t=nuB8iW2z0EaxNqLLvVCYqzDb5qKyAzamHjgA3LY6OQo,Remote,3 weeks ago,77 applicants,Full-time · Entry level
Back-End Developer in R,Lumanity,https://www.linkedin.com/company/lumanity/life/,"London, England, United Kingdom",https://media-exp1.licdn.com/dms/image/C560BAQF3HAGFQXKZVQ/company-logo_100_100/0/1656679308303?e=1675900800&v=beta&t=K12JjLv_Lvyy0GelnORA88S0fOU7Jm_VpCwwjb69Rac,Remote,2 days ago,105 applicants,Full-time · Entry level
Backend Engineer (Junior to Mid) (Node/ AWS/ TypeScript/ Terraform ) - Global Ticket Platform - Up to £80k - Remote/ London,Opus Recruitment Solutions,https://www.linkedin.com/company/opus-recruitment-solutions/life/,"London, England, United Kingdom",https://media-exp1.licdn.com/dms/image/C560BAQHM_oqVxH6cXA/company-logo_100_100/0/1519887505044?e=1675900800&v=beta&t=Atjci9x8wM8f1AQ6PIjxECEf5sSYytXeuZLevjURqVw,Remote,5 days ago,ERR,Full-time · Director
Backend Engineer,Osprey Charging Network,https://www.linkedin.com/company/ospreycharging/life/,"London, England, United Kingdom",https://media-exp1.licdn.com/dms/image/C4D0BAQH4Twmla-lLaA/company-logo_100_100/0/1601968081544?e=1675900800&v=beta&t=TPZ_IXq595vZDJyAbykrHz3v11UUDMpEtqV1mPhAvq8,Hybrid,6 days ago,20 applicants,Full-time
Senior Back End Software Engineer,Cytora,https://www.linkedin.com/company/cytora/life/,"London Area, United Kingdom",https://media-exp1.licdn.com/dms/image/C4D0BAQH1DzbqGdo-bw/company-logo_100_100/0/1527182255779?e=1675900800&v=beta&t=YcMW8yQ5TGwBCgs8YZTcmUNgV76ssZHibXLv11384Nw,Remote,1 month ago,5 applicants,Full-time · Mid-Senior level
Senior Backend Engineer,Ravelin Technology,https://www.linkedin.com/company/ravelin-technology/life/,"London, England, United Kingdom",https://media-exp1.licdn.com/dms/image/C4D0BAQH2bJem7BhtQA/company-logo_100_100/0/1549387427741?e=1675900800&v=beta&t=F9q_Rp2iADxZsU4W_HNvy67dTEvIWkvD-CiHYH-mZtw,Remote,1 week ago,88 applicants,Full-time · Mid-Senior level
Back End Developer,Volt - International,https://www.linkedin.com/company/volt-international/life/,"London, England, United Kingdom",https://media-exp1.licdn.com/dms/image/C560BAQGNp17662pKbg/company-logo_100_100/0/1599660069784?e=1675900800&v=beta&t=sqOmEjX_WEBmoOhT41Ovj4YXqLHSr1_0C5D_NVVcllY,Hybrid,1 week ago,115 applicants,"£80,000/yr - £100,000/yr · Full-time · Mid-Senior level"
Senior Back End Engineer,Velocity Tech,https://www.linkedin.com/company/velocitytechltd/life/,United Kingdom,https://media-exp1.licdn.com/dms/image/D4E0BAQFH57u9FfeqXw/company-logo_100_100/0/1663657932716?e=1675900800&v=beta&t=jnp0F6drr0NKxFrboaMuGcHIi3uJHKoAItWanVcMwY0,Remote,1 week ago,30 applicants,Full-time · Mid-Senior level
Backend Software Development Engineer,Apperio,https://www.linkedin.com/company/apperio/life/,"London Area, United Kingdom",https://media-exp1.licdn.com/dms/image/C560BAQENrK-Ef4lPCg/company-logo_100_100/0/1519868762489?e=1675900800&v=beta&t=lezxFPaqbeMEvoRFKoi22BgNUKJCNpRWFBNp9KxVTyo,Remote,2 weeks ago,43 applicants,Full-time · Mid-Senior level
