job_title,company_name,company_linkedin_link,company_location,company_image,work_method,post_date,applicants,work_time
Android Developer - Berlin (m/f/d),Oliver Bernard,https://www.linkedin.com/company/oliverbernard/life/,"Berlin, Germany",https://media-exp1.licdn.com/dms/image/C4D0BAQHgIGQd_-1HXw/company-logo_100_100/0/1625210252348?e=1676505600&v=beta&t=uF7YPk6N764RFT2AO4LixPLu1A89gbefFbGSrmtvAYo,Remote,3 days ago,72 applicants,Full-time · Mid-Senior level
React Native Engineer (Mobile Platform Team) - Remote,Mattermost,https://www.linkedin.com/company/mattermost/life/,"Berlin, Berlin, Germany",https://media-exp1.licdn.com/dms/image/C4E0BAQHKzpS-amYfmQ/company-logo_100_100/0/1652214403619?e=1676505600&v=beta&t=eZmJBHXvFXqIdu72zWrlfRhFJNnZW1ObYzw17fOhM5M,Remote,1 month ago,8 applicants,Full-time · Entry level
Android Game Developer,SOFTGAMES,https://www.linkedin.com/company/softgames-mobile-entertainment-services/life/,European Economic Area,https://media-exp1.licdn.com/dms/image/C4D0BAQFmUZsL5pAv1w/company-logo_100_100/0/1562253153080?e=1676505600&v=beta&t=j9wQ7l73KPRWkymWRKL3Kp5L2d2iPbjfFMOV2t8MWxE,Remote,4 days ago,75 applicants,Full-time · Mid-Senior level
Lead Mobile Engineer,Andela,https://www.linkedin.com/company/andela/life/,EMEA,https://media-exp1.licdn.com/dms/image/C560BAQHOiEePQQlQ8g/company-logo_100_100/0/1656607039747?e=1676505600&v=beta&t=A9W5i6driWlMwbCedroqYmpJ8pWhoclP3VyMuU3I8RI,Remote,5 days ago,ERR,Contract · Mid-Senior level
Android Developer,SwissBorg,https://www.linkedin.com/company/swissborg/life/,European Union,https://media-exp1.licdn.com/dms/image/C4D0BAQHsNCfetOnoSg/company-logo_100_100/0/1553861235258?e=1676505600&v=beta&t=VLyWsXwkRJ__VCPG007DAThfQh5fDuM0q7md2rLgyxg,Remote,1 week ago,ERR,Full-time · Mid-Senior level
"Android Developer, Support Funnel",Wolt,https://www.linkedin.com/company/wolt-oy/life/,"Berlin, Berlin, Germany",https://media-exp1.licdn.com/dms/image/C560BAQGAVNXIpc8cGQ/company-logo_100_100/0/1625054170092?e=1676505600&v=beta&t=7I8iK7_2pDRM8RAYrEmi94OCmIX0CsMrd__QXn3TjDs,Remote,2 days ago,142 applicants,Full-time · Mid-Senior level
Android Developer,Modis,https://www.linkedin.com/company/modis/life/,"Berlin, Germany",https://media-exp1.licdn.com/dms/image/C4D0BAQEZUvRVJ8XLmw/company-logo_100_100/0/1603190267070?e=1676505600&v=beta&t=3e2ENsSGqTGFcyXdfKwK9vsvfW36Qlgq_pGKMyXXeEM,Remote,2 days ago,86 applicants,Full-time · Mid-Senior level
(Senior) Mobile App Developer (m/w/d),Endava DACH,https://www.linkedin.com/company/endava-dach/life/,"Berlin, Berlin, Germany",https://media-exp1.licdn.com/dms/image/C4E0BAQF6ErXM8PJmCQ/company-logo_100_100/0/1656408789336?e=1676505600&v=beta&t=ke_3jY993UYkvHRxc8OTBVlcgg7XsltQts837Xh1rLs,Remote,1 week ago,9 applicants,Full-time · Mid-Senior level
Mobile Developer | C/C++ & Qt Talent for Creative Writing Suite,Papyrus Author,https://www.linkedin.com/company/papyrus-author/life/,"Berlin, Berlin, Germany",https://media-exp1.licdn.com/dms/image/C4E0BAQEm4j8tMZkidA/company-logo_100_100/0/1657803560023?e=1676505600&v=beta&t=uPhz0GdoIEZlR9zqF7AsUiLIA2kR_Z7jNZ8ZKWSZ9Nw,Remote,1 week ago,2 applicants,Full-time · Entry level
Principal Android Engineer,ExpressVPN,https://www.linkedin.com/company/expressvpn/life/,Germany,https://media-exp1.licdn.com/dms/image/C560BAQGm3ee6befmHA/company-logo_100_100/0/1615453406826?e=1676505600&v=beta&t=V8W_qkRRDYmw-78U7hCjUlD6Tpt3U6a4e1-gTIN4A44,Remote,3 weeks ago,140 applicants,Full-time · Mid-Senior level
Senior Android Engineer,ExpressVPN,https://www.linkedin.com/company/expressvpn/life/,EMEA,https://media-exp1.licdn.com/dms/image/C560BAQGm3ee6befmHA/company-logo_100_100/0/1615453406826?e=1676505600&v=beta&t=V8W_qkRRDYmw-78U7hCjUlD6Tpt3U6a4e1-gTIN4A44,Remote,3 weeks ago,ERR,Full-time · Mid-Senior level
Senior Software Engineer - Android Native (Germany),Quantum Metric,https://www.linkedin.com/company/quantum-metric/life/,Germany,https://media-exp1.licdn.com/dms/image/C560BAQFrCjrOlWlHYQ/company-logo_100_100/0/1634569914030?e=1676505600&v=beta&t=zxb7VTFusGkf6SnRafQixcKhLJoFWGrMzmXAhPaFWYc,Remote,2 weeks ago,96 applicants,Full-time · Mid-Senior level
Principal Mobile Engineer (Android),Andela,https://www.linkedin.com/company/andela/life/,EMEA,https://media-exp1.licdn.com/dms/image/C560BAQHOiEePQQlQ8g/company-logo_100_100/0/1656607039747?e=1676505600&v=beta&t=A9W5i6driWlMwbCedroqYmpJ8pWhoclP3VyMuU3I8RI,Remote,2 weeks ago,ERR,Contract · Mid-Senior level
Senior Android Engineer,Clue by Biowink,https://www.linkedin.com/company/clue-by-biowink/life/,"Berlin, Germany",https://media-exp1.licdn.com/dms/image/C4D0BAQEEDiafsOwARA/company-logo_100_100/0/1600253795986?e=1676505600&v=beta&t=ZGZE-zouybtbmpRZwAWRci_VAiBIOfqRruwQzmO13fU,Remote,1 month ago,5 applicants,Contract · Mid-Senior level
Android Developer,Few&Far.,https://www.linkedin.com/company/fewandfar/life/,European Union,https://media-exp1.licdn.com/dms/image/C560BAQFKOyVdOm1fhA/company-logo_100_100/0/1569250901619?e=1676505600&v=beta&t=ZiSlYpW7tg2WoU4ogVbrbEpD0FS0G57mqeOvxfIOhVI,Remote,3 weeks ago,ERR,Full-time · Mid-Senior level
Android Developer (Jede*r),tarent solutions GmbH,https://www.linkedin.com/company/tarentsolutions/life/,"Berlin, Berlin, Germany",https://media-exp1.licdn.com/dms/image/C4D0BAQEer5A8X3OsCw/company-logo_100_100/0/1625122618931?e=1676505600&v=beta&t=LTNcBXBvhRzIWOQYh7Dofb4I19EuxyhuYROKD0xE_g4,Remote,5 days ago,14 applicants,Full-time · Entry level
Android Developer,Few&Far.,https://www.linkedin.com/company/fewandfar/life/,European Union,https://media-exp1.licdn.com/dms/image/C560BAQFKOyVdOm1fhA/company-logo_100_100/0/1569250901619?e=1676505600&v=beta&t=ZiSlYpW7tg2WoU4ogVbrbEpD0FS0G57mqeOvxfIOhVI,Remote,2 weeks ago,ERR,Full-time · Mid-Senior level
Android Developer,Adapt 365,https://www.linkedin.com/company/adapt365/life/,Germany,https://media-exp1.licdn.com/dms/image/C4D0BAQFxzoMS_rNJ0w/company-logo_100_100/0/1612736858062?e=1676505600&v=beta&t=xFrK8-4K5lz-Kwx11RzcWOP9BC0cProY-N2qPzDQKms,Remote,2 weeks ago,ERR,Full-time · Mid-Senior level
QA Mobile Engineer,Customer.io,https://www.linkedin.com/company/customer-io/life/,EMEA,https://media-exp1.licdn.com/dms/image/C4E0BAQH3O_fWsB6u9g/company-logo_100_100/0/1629323216056?e=1676505600&v=beta&t=Xks4vFFCgGJDBUsLk5xph_IVKodOU5s-FaVIJD26B2o,Remote,2 days ago,ERR,Full-time · Entry level
Entwickler:in für mobile Anwendungen,Groenewold - new media e.K.,https://www.linkedin.com/company/groenewold---new-media-e.k./life/,Germany,https://media-exp1.licdn.com/dms/image/C560BAQFCnLJcu-alMA/company-logo_100_100/0/1591716803890?e=1676505600&v=beta&t=tik6XCo2TfHWAWMxA2qhjlV7x88k_otpCIl5sxXfWP8,Remote,1 week ago,46 applicants,Full-time
Sales Engineer - Mobile - Europe,Ditto,https://www.linkedin.com/company/dittolive/life/,European Union,https://media-exp1.licdn.com/dms/image/C560BAQEcGnOOpRjUVQ/company-logo_100_100/0/1530257287149?e=1676505600&v=beta&t=UOhXsi0huspbNgoqov9VVNZ8XqwzVqag9sA0axZLrxo,Remote,4 weeks ago,1 applicant,Full-time · Entry level
React Frontend Developer | Leadzai | full remote | up to 66K |,Rviewer,https://www.linkedin.com/company/rviewer/life/,EMEA,https://media-exp1.licdn.com/dms/image/C4E0BAQFG_Whi51Vw9A/company-logo_100_100/0/1647447869869?e=1676505600&v=beta&t=BQcDPG0DXfGltC0EYim5VEE7Gmb_iLo56lWNRo0azaA,Remote,3 hours ago,ERR,Full-time · Associate
"Software Engineer, Mobile (Android)",Cloudflare,https://www.linkedin.com/company/cloudflare/life/,Germany,https://media-exp1.licdn.com/dms/image/C4D0BAQG16gpXzS14DQ/company-logo_100_100/0/1625230996048?e=1676505600&v=beta&t=dVJtqKaBAGeWQn133ILfMQ3_m3NbrCm2lrjS7eBplao,Remote,6 days ago,47 applicants,Full-time · Associate
Android Developer,Few&Far.,https://www.linkedin.com/company/fewandfar/life/,European Union,https://media-exp1.licdn.com/dms/image/C560BAQFKOyVdOm1fhA/company-logo_100_100/0/1569250901619?e=1676505600&v=beta&t=ZiSlYpW7tg2WoU4ogVbrbEpD0FS0G57mqeOvxfIOhVI,Remote,3 days ago,ERR,Full-time · Mid-Senior level
Senior Mobile SDK Engineer,Initi8 Recruitment,https://www.linkedin.com/company/initi8-recruitment/life/,European Union,https://media-exp1.licdn.com/dms/image/C4E0BAQFGBHEonlW2IA/company-logo_100_100/0/1658219500289?e=1676505600&v=beta&t=lkaLBzruNz8keu6bf1Z9PAMFR2oVTbk6VsSfiDlKT1g,Remote,4 days ago,47 applicants,Full-time · Mid-Senior level
