job_title,company_name,company_linkedin_link,company_location,company_image,work_method,post_date,applicants,work_time
Frontend Developer,Nunegal Consulting,https://www.linkedin.com/company/nunegal/life/,Spain,https://media-exp1.licdn.com/dms/image/C560BAQFzD1k2psIiDA/company-logo_100_100/0/1572008924136?e=1675900800&v=beta&t=-2MJtS2YWQCgMK1aRRRWTyyRrIXIcepXSSWL80R_CG0,Remote,3 days ago,ERR,Full-time · Associate
Programador Full Stack Java/ Angular 100% Remoto,atSistemas,https://www.linkedin.com/company/atsistemas/life/,Spain,https://media-exp1.licdn.com/dms/image/C4E0BAQGkAbPV9mMndg/company-logo_100_100/0/1646817241810?e=1675900800&v=beta&t=xUqvRPWmj5RVbjlw_3-2izGPXW0GG8Brzk_5FFnsTi8,Remote,2 days ago,17 applicants,Full-time · Mid-Senior level
Full Stack Engineer - Localization Infrastructure,Miro,https://www.linkedin.com/company/mirohq/life/,European Union,https://media-exp1.licdn.com/dms/image/C560BAQFhLe4ez8XQAA/company-logo_100_100/0/1642799888756?e=1675900800&v=beta&t=WtxZ5DSx6b2gYQ3ITuemCSvxuuzj7o8atniYYIzaE8E,Remote,1 week ago,60 applicants,Full-time · Mid-Senior level
Full Stack Engineer - Localization Infrastructure,Miro,https://www.linkedin.com/company/mirohq/life/,European Union,https://media-exp1.licdn.com/dms/image/C560BAQFhLe4ez8XQAA/company-logo_100_100/0/1642799888756?e=1675900800&v=beta&t=WtxZ5DSx6b2gYQ3ITuemCSvxuuzj7o8atniYYIzaE8E,Remote,1 week ago,40 applicants,Full-time · Mid-Senior level
Desarrollador/a de back-end Java (80-100 % Remoto),Spring Professional,https://www.linkedin.com/company/spring-professional/life/,Spain,https://media-exp1.licdn.com/dms/image/C4E0BAQE1BugM5WS4fg/company-logo_100_100/0/1519898595530?e=1675900800&v=beta&t=dNjOpgQxglp6BRnsyv1p512Uq_qpeVBWh2EAqS9Oh38,Remote,21 hours ago,33 applicants,Full-time · Mid-Senior level
Frontend Developer - Angular - 100% remote - 50k€,Michael Page,https://www.linkedin.com/company/michael-page/life/,"Madrid, Community of Madrid, Spain",https://media-exp1.licdn.com/dms/image/C4E0BAQHxlM8kPUzvVg/company-logo_100_100/0/1663662454082?e=1675900800&v=beta&t=zK3R-ULwcG3DI4QLMqx5jLyc0qarW2w7ZlZTjwkPM1M,Remote,2 months ago,35 applicants,Full-time · Entry level
Senior Back-End (PHP) Developer,CreatorIQ,https://www.linkedin.com/company/creatoriq/life/,European Economic Area,https://media-exp1.licdn.com/dms/image/C560BAQGRMuiTllx_cw/company-logo_100_100/0/1541024570460?e=1675900800&v=beta&t=vKclBs4L369CriQbeFNbBpMBmZo_Xj7Wnh9_zqq4PSQ,Remote,1 day ago,56 applicants,Full-time · Mid-Senior level
Programador Frontend React,CMV Consultores,https://www.linkedin.com/company/cmv-consultores/life/,"Madrid, Community of Madrid, Spain",https://media-exp1.licdn.com/dms/image/C4E0BAQE1XxejjclMHQ/company-logo_100_100/0/1519884368887?e=1675900800&v=beta&t=krOI6Vqs3_fx5m7F2D5XPI_nhZ3hOsqbV4rjGhFLSnc,Remote,5 days ago,10 applicants,Full-time · Entry level
Fullstack Engineer - Node/ React,Trust In SODA,https://www.linkedin.com/company/trust-in-soda/life/,Spain,https://media-exp1.licdn.com/dms/image/C4D0BAQEhWCS-7kb0ZQ/company-logo_100_100/0/1657530315900?e=1675900800&v=beta&t=ISOWA4cxZMjYrtx58Gp7oUwyjJ8awqZIrYQGpB4HrJs,Remote,5 days ago,107 applicants,Full-time · Mid-Senior level
Frontend Developer,Vue Storefront,https://www.linkedin.com/company/vue-storefront/life/,European Union,https://media-exp1.licdn.com/dms/image/C4E0BAQG3QmvQj6BRDw/company-logo_100_100/0/1634106226776?e=1675900800&v=beta&t=Y3letAOTHHcRO7zIANG66PrGLO2Iz7wtj_jRE01yxQA,Remote,1 week ago,ERR,Full-time · Mid-Senior level
